
Due to MODULEPATH changes, the following have been reloaded:
  1) mii/1.1.1

/cvmfs/soft.computecanada.ca/easybuild/software/2020/avx512/Compiler/intel2020/openmpi/4.0.3/bin/mpiexec
/cvmfs/soft.computecanada.ca/easybuild/software/2020/avx512/Compiler/intel2020/openmpi/4.0.3/bin/mpirun
Number of Vertices for coarse grid 2253001
Number of Vertices for fine mesh in process  0  115384
2	
	-111111	  3	
order of input  2
order of output  3
Mean of Gaussian  0
Sd of Gaussian  0.3
Size of Linear System 3.6024e+07
6	
	1.04602786	0.313808358	0.06656880537	0.01153005531	0.001729508297
	0.0002320378871	
  0 KSP Residual norm 3.332222222222e-04 
      Residual norms for mg_coarse_ solve.
      0 KSP Residual norm 1.620238033341e+01 
      1 KSP Residual norm 1.196225369941e+01 
      2 KSP Residual norm 9.969752591876e+00 
      3 KSP Residual norm 8.786418324884e+00 
      4 KSP Residual norm 7.823193451564e+00 
      5 KSP Residual norm 7.063550079771e+00 
      6 KSP Residual norm 6.595541515160e+00 
      7 KSP Residual norm 6.194697174423e+00 
      8 KSP Residual norm 5.762232329682e+00 
      9 KSP Residual norm 5.485549375888e+00 
     10 KSP Residual norm 5.254043848974e+00 
     11 KSP Residual norm 5.018661560690e+00 
     12 KSP Residual norm 4.825552467254e+00 
     13 KSP Residual norm 4.663365214703e+00 
     14 KSP Residual norm 4.511907883299e+00 
     15 KSP Residual norm 4.368753311988e+00 
     16 KSP Residual norm 4.244283346136e+00 
     17 KSP Residual norm 4.144220236345e+00 
     18 KSP Residual norm 4.049670045717e+00 
     19 KSP Residual norm 3.955393954321e+00 
     20 KSP Residual norm 3.881792644177e+00 
     21 KSP Residual norm 3.819611215445e+00 
     22 KSP Residual norm 3.755523117448e+00 
     23 KSP Residual norm 3.705576113905e+00 
     24 KSP Residual norm 3.665326209932e+00 
     25 KSP Residual norm 3.626626395769e+00 
     26 KSP Residual norm 3.591195741541e+00 
     27 KSP Residual norm 3.561149394784e+00 
     28 KSP Residual norm 3.537097864426e+00 
     29 KSP Residual norm 3.515179824675e+00 
     30 KSP Residual norm 3.493290453307e+00 
     31 KSP Residual norm 3.487625318594e+00 
     32 KSP Residual norm 3.483001723996e+00 
     33 KSP Residual norm 3.469316202438e+00 
     34 KSP Residual norm 3.460413463049e+00 
     35 KSP Residual norm 3.452716142115e+00 
     36 KSP Residual norm 3.442020036410e+00 
     37 KSP Residual norm 3.431538825360e+00 
     38 KSP Residual norm 3.422771868736e+00 
     39 KSP Residual norm 3.414861218737e+00 
     40 KSP Residual norm 3.403985812408e+00 
     41 KSP Residual norm 3.395588149882e+00 
     42 KSP Residual norm 3.387541872609e+00 
     43 KSP Residual norm 3.379042396483e+00 
     44 KSP Residual norm 3.370614263648e+00 
     45 KSP Residual norm 3.363182490042e+00 
     46 KSP Residual norm 3.352566278187e+00 
     47 KSP Residual norm 3.340308183078e+00 
     48 KSP Residual norm 3.334653062870e+00 
     49 KSP Residual norm 3.328318809721e+00 
     50 KSP Residual norm 3.322509833700e+00 
     51 KSP Residual norm 3.315829310526e+00 
     52 KSP Residual norm 3.310340442520e+00 
     53 KSP Residual norm 3.303860826238e+00 
     54 KSP Residual norm 3.297755446675e+00 
     55 KSP Residual norm 3.291987847976e+00 
     56 KSP Residual norm 3.285512868424e+00 
     57 KSP Residual norm 3.279044675552e+00 
     58 KSP Residual norm 3.273668555063e+00 
     59 KSP Residual norm 3.266599844827e+00 
     60 KSP Residual norm 3.259942260798e+00 
     61 KSP Residual norm 3.258997517010e+00 
     62 KSP Residual norm 3.258199967381e+00 
     63 KSP Residual norm 3.255121693366e+00 
     64 KSP Residual norm 3.253273360127e+00 
     65 KSP Residual norm 3.251375211659e+00 
     66 KSP Residual norm 3.248168067416e+00 
     67 KSP Residual norm 3.244329080871e+00 
     68 KSP Residual norm 3.241155369771e+00 
     69 KSP Residual norm 3.237863291406e+00 
     70 KSP Residual norm 3.232774397503e+00 
     71 KSP Residual norm 3.228218234095e+00 
     72 KSP Residual norm 3.223891740415e+00 
     73 KSP Residual norm 3.219289562889e+00 
     74 KSP Residual norm 3.213138977045e+00 
     75 KSP Residual norm 3.207992511722e+00 
     76 KSP Residual norm 3.202937468660e+00 
     77 KSP Residual norm 3.196165163178e+00 
     78 KSP Residual norm 3.189675891905e+00 
     79 KSP Residual norm 3.183764202562e+00 
     80 KSP Residual norm 3.179133792593e+00 
     81 KSP Residual norm 3.173260366394e+00 
     82 KSP Residual norm 3.168043619477e+00 
     83 KSP Residual norm 3.162761217436e+00 
     84 KSP Residual norm 3.157893421193e+00 
     85 KSP Residual norm 3.151795778963e+00 
     86 KSP Residual norm 3.146854958540e+00 
     87 KSP Residual norm 3.141850050581e+00 
     88 KSP Residual norm 3.135788318469e+00 
     89 KSP Residual norm 3.129469895939e+00 
     90 KSP Residual norm 3.124523695182e+00 
     91 KSP Residual norm 3.122573081864e+00 
     92 KSP Residual norm 3.120057706296e+00 
     93 KSP Residual norm 3.114146150631e+00 
     94 KSP Residual norm 3.110598507442e+00 
     95 KSP Residual norm 3.107970084254e+00 
     96 KSP Residual norm 3.103481359547e+00 
     97 KSP Residual norm 3.099165541522e+00 
     98 KSP Residual norm 3.095125080333e+00 
     99 KSP Residual norm 3.091127142163e+00 
    100 KSP Residual norm 3.085820431084e+00 
    Linear mg_coarse_ solve did not converge due to DIVERGED_ITS iterations 100
  1 KSP Residual norm 3.330929630068e-04 
      Residual norms for mg_coarse_ solve.
      0 KSP Residual norm 3.977015485106e-01 
      1 KSP Residual norm 2.883501492221e-01 
      2 KSP Residual norm 2.385537423332e-01 
      3 KSP Residual norm 2.098531524806e-01 
      4 KSP Residual norm 1.874122863318e-01 
      5 KSP Residual norm 1.696278188961e-01 
      6 KSP Residual norm 1.579579158679e-01 
      7 KSP Residual norm 1.483220024335e-01 
      8 KSP Residual norm 1.386271342528e-01 
      9 KSP Residual norm 1.317516248299e-01 
     10 KSP Residual norm 1.262427621233e-01 
     11 KSP Residual norm 1.208006350008e-01 
     12 KSP Residual norm 1.159259212034e-01 
     13 KSP Residual norm 1.118420585923e-01 
     14 KSP Residual norm 1.082043553330e-01 
     15 KSP Residual norm 1.047857657295e-01 
     16 KSP Residual norm 1.017701320925e-01 
     17 KSP Residual norm 9.920365044769e-02 
     18 KSP Residual norm 9.679101491963e-02 
     19 KSP Residual norm 9.439377375500e-02 
     20 KSP Residual norm 9.239349426765e-02 
     21 KSP Residual norm 9.069914637152e-02 
     22 KSP Residual norm 8.906397408407e-02 
     23 KSP Residual norm 8.765350570184e-02 
     24 KSP Residual norm 8.644053766734e-02 
     25 KSP Residual norm 8.530721820856e-02 
     26 KSP Residual norm 8.423517892855e-02 
     27 KSP Residual norm 8.330223732380e-02 
     28 KSP Residual norm 8.249180543830e-02 
     29 KSP Residual norm 8.172644254511e-02 
     30 KSP Residual norm 8.101132854333e-02 
     31 KSP Residual norm 8.070921616297e-02 
     32 KSP Residual norm 8.041321638743e-02 
     33 KSP Residual norm 8.003183832075e-02 
     34 KSP Residual norm 7.969976894443e-02 
     35 KSP Residual norm 7.939818759576e-02 
     36 KSP Residual norm 7.902289238460e-02 
     37 KSP Residual norm 7.866462122880e-02 
     38 KSP Residual norm 7.833440851731e-02 
     39 KSP Residual norm 7.801709622410e-02 
     40 KSP Residual norm 7.764165162618e-02 
     41 KSP Residual norm 7.730030710258e-02 
     42 KSP Residual norm 7.697131246130e-02 
     43 KSP Residual norm 7.662181503306e-02 
     44 KSP Residual norm 7.628022382427e-02 
     45 KSP Residual norm 7.595750801590e-02 
     46 KSP Residual norm 7.558555441324e-02 
     47 KSP Residual norm 7.520908802887e-02 
     48 KSP Residual norm 7.488116751335e-02 
     49 KSP Residual norm 7.456911618661e-02 
     50 KSP Residual norm 7.425567614715e-02 
     51 KSP Residual norm 7.391867070924e-02 
     52 KSP Residual norm 7.357954561798e-02 
     53 KSP Residual norm 7.326090748425e-02 
     54 KSP Residual norm 7.290655310366e-02 
     55 KSP Residual norm 7.254761123331e-02 
     56 KSP Residual norm 7.220597661632e-02 
     57 KSP Residual norm 7.185087885069e-02 
     58 KSP Residual norm 7.147674461337e-02 
     59 KSP Residual norm 7.108832437232e-02 
     60 KSP Residual norm 7.072026118617e-02 
     61 KSP Residual norm 7.054201258360e-02 
     62 KSP Residual norm 7.040341440045e-02 
     63 KSP Residual norm 7.027919978656e-02 
     64 KSP Residual norm 7.016029958789e-02 
     65 KSP Residual norm 7.005061062162e-02 
     66 KSP Residual norm 6.991163950324e-02 
     67 KSP Residual norm 6.977009349033e-02 
     68 KSP Residual norm 6.963419054103e-02 
     69 KSP Residual norm 6.948940870180e-02 
     70 KSP Residual norm 6.932639522778e-02 
     71 KSP Residual norm 6.917116953760e-02 
     72 KSP Residual norm 6.901000267964e-02 
     73 KSP Residual norm 6.884375065827e-02 
     74 KSP Residual norm 6.867579739343e-02 
     75 KSP Residual norm 6.849862473474e-02 
     76 KSP Residual norm 6.835535747187e-02 
     77 KSP Residual norm 6.820297009472e-02 
     78 KSP Residual norm 6.803257850886e-02 
     79 KSP Residual norm 6.788856303301e-02 
     80 KSP Residual norm 6.775378893864e-02 
     81 KSP Residual norm 6.761404801770e-02 
     82 KSP Residual norm 6.747945566338e-02 
     83 KSP Residual norm 6.736297779844e-02 
     84 KSP Residual norm 6.724383853534e-02 
     85 KSP Residual norm 6.711605943508e-02 
     86 KSP Residual norm 6.701108041461e-02 
     87 KSP Residual norm 6.690793639375e-02 
     88 KSP Residual norm 6.679983578121e-02 
     89 KSP Residual norm 6.669528797919e-02 
     90 KSP Residual norm 6.659560285790e-02 
     91 KSP Residual norm 6.652178033616e-02 
     92 KSP Residual norm 6.645008883130e-02 
     93 KSP Residual norm 6.637942698596e-02 
     94 KSP Residual norm 6.631724682195e-02 
     95 KSP Residual norm 6.625205011084e-02 
     96 KSP Residual norm 6.618108775362e-02 
     97 KSP Residual norm 6.610975563381e-02 
     98 KSP Residual norm 6.603626024799e-02 
     99 KSP Residual norm 6.595539353642e-02 
    100 KSP Residual norm 6.586809217815e-02 
    Linear mg_coarse_ solve did not converge due to DIVERGED_ITS iterations 100
  2 KSP Residual norm 3.317646546858e-04 
      Residual norms for mg_coarse_ solve.
      0 KSP Residual norm 9.206265498660e-01 
      1 KSP Residual norm 6.924198387296e-01 
      2 KSP Residual norm 5.831645127087e-01 
      3 KSP Residual norm 5.209324647753e-01 
      4 KSP Residual norm 4.713382559880e-01 
      5 KSP Residual norm 4.307560614362e-01 
      6 KSP Residual norm 4.068930668196e-01 
